Time [s],Ch 1 [C],Ch 2 [C],Ch 3 [C],Ch 4 [C],Ch 5 [C],Ch 6 [C],Ch 7 [C],Ch 8 [C],Ch 9 [C],Ch 10 [C],Ch 11 [C],Ch 12 [C],Ch 13 [C],Ch 14 [C],Ch 15 [C],T_Jet [C],Ch 16 [C],Ch 17 [C],Ch 18 [C],Ch 19 [C],Ch 20 [C],Ch 21 [C],Ch 22 [C],Ch 23 [C],Ch 25 [C],Ch 26 [C],Ch 27 [C],Ch 28 [C],Ch 29 [C],Ch 30 [C],Ch 31 [C],T_ambient [C],T_Heat Flux [C],Heat Flux [W/m^2],P_heater [W]
50.344,55.384,55.477,55.648,55.559,55.586,55.594,55.502,55.505,55.418,55.52,55.492,55.576,55.54,55.521,55.493,34.412,55.722,55.831,55.773,55.818,55.847,55.812,55.67,55.657,55.671,55.608,55.476,55.561,55.553,55.429,55.304,26.723,55.988,-0.18,99.941
52.984,55.441,55.534,55.716,55.628,55.632,55.653,55.565,55.546,55.466,55.571,55.54,55.621,55.607,55.566,55.548,34.414,55.791,55.879,55.822,55.868,55.885,55.867,55.723,55.712,55.729,55.656,55.547,55.631,55.589,55.504,55.35,26.732,56.063,-0.193,99.94
55.625,55.516,55.602,55.773,55.66,55.715,55.703,55.625,55.626,55.527,55.615,55.591,55.677,55.673,55.634,55.618,34.409,55.839,55.944,55.888,55.911,55.966,55.925,55.797,55.78,55.786,55.727,55.587,55.688,55.643,55.532,55.391,26.7,56.169,-0.19,99.939
58.266,55.548,55.671,55.827,55.751,55.757,55.772,55.69,55.663,55.602,55.7,55.657,55.746,55.706,55.693,55.675,34.416,55.896,56.008,55.943,55.981,56.036,55.976,55.844,55.835,55.842,55.783,55.668,55.74,55.712,55.603,55.427,26.707,56.271,-0.149,99.937
60.922,55.625,55.725,55.894,55.801,55.836,55.842,55.757,55.725,55.646,55.754,55.718,55.802,55.786,55.747,55.721,34.397,55.958,56.059,56.009,56.062,56.087,56.042,55.908,55.903,55.921,55.846,55.716,55.789,55.754,55.621,55.481,26.694,56.346,-0.124,99.937
63.562,55.693,55.804,55.962,55.874,55.888,55.897,55.817,55.77,55.709,55.801,55.782,55.869,55.845,55.812,55.79,34.414,56.025,56.121,56.068,56.096,56.155,56.109,55.963,55.978,55.983,55.91,55.793,55.859,55.827,55.689,55.526,26.71,56.44,-0.118,99.936
66.219,55.756,55.83,56.021,55.93,55.949,55.959,55.882,55.844,55.773,55.843,55.833,55.907,55.885,55.856,55.848,34.416,56.063,56.182,56.118,56.151,56.19,56.157,56.047,56.043,56.046,55.981,55.839,55.914,55.88,55.764,55.574,26.716,56.536,-0.117,99.934
68.859,55.818,55.895,56.09,55.985,56.028,56.04,55.934,55.907,55.826,55.918,55.899,55.996,55.954,55.925,55.907,34.422,56.13,56.249,56.187,56.215,56.266,56.23,56.098,56.107,56.1,56.033,55.886,55.986,55.946,55.831,55.653,26.704,56.633,-0.073,99.933
71.5,55.863,55.97,56.162,56.062,56.098,56.103,56.001,55.965,55.89,55.974,55.946,56.055,56.028,55.994,55.957,34.43,56.184,56.279,56.249,56.286,56.319,56.286,56.158,56.151,56.155,56.08,55.938,56.035,56.011,55.903,55.709,26.71,56.723,-0.08,99.933
74.156,55.943,56.028,56.225,56.132,56.145,56.155,56.055,56.026,55.961,56.029,56.006,56.107,56.071,56.038,56.03,34.434,56.243,56.354,56.304,56.355,56.391,56.353,56.219,56.206,56.205,56.146,56.013,56.101,56.071,55.936,55.766,26.716,56.801,-0.083,99.931
76.797,55.97,56.103,56.281,56.191,56.209,56.213,56.122,56.087,56.007,56.067,56.061,56.17,56.139,56.107,56.062,34.445,56.297,56.4,56.356,56.393,56.432,56.402,56.269,56.254,56.26,56.197,56.063,56.146,56.122,56.004,55.824,26.719,56.913,-0.044,99.93
79.453,56.054,56.163,56.338,56.257,56.272,56.284,56.16,56.151,56.086,56.14,56.137,56.228,56.212,56.171,56.137,34.43,56.366,56.46,56.421,56.461,56.5,56.472,56.336,56.319,56.349,56.278,56.122,56.21,56.186,56.053,55.877,26.723,56.982,-0.055,99.929
82.094,56.115,56.242,56.398,56.338,56.351,56.353,56.237,56.224,56.154,56.213,56.194,56.293,56.281,56.244,56.217,34.43,56.434,56.531,56.492,56.54,56.567,56.529,56.405,56.381,56.393,56.346,56.198,56.299,56.269,56.131,55.929,26.716,57.094,-0.041,99.929
84.75,56.173,56.301,56.471,56.407,56.415,56.413,56.311,56.304,56.231,56.277,56.258,56.365,56.335,56.306,56.278,34.441,56.499,56.59,56.554,56.583,56.625,56.591,56.459,56.464,56.454,56.407,56.269,56.364,56.344,56.2,55.982,26.707,57.203,-0.044,99.927
87.391,56.24,56.343,56.535,56.453,56.466,56.472,56.362,56.333,56.272,56.319,56.325,56.406,56.39,56.357,56.341,34.445,56.547,56.652,56.611,56.661,56.698,56.656,56.536,56.521,56.522,56.441,56.324,56.412,56.398,56.267,56.061,26.704,57.259,-0.022,99.927
90.047,56.301,56.407,56.596,56.512,56.524,56.526,56.42,56.397,56.338,56.396,56.388,56.474,56.45,56.417,56.397,34.451,56.614,56.707,56.667,56.722,56.767,56.722,56.604,56.587,56.591,56.512,56.38,56.457,56.436,56.295,56.117,26.697,57.362,-0.028,99.925
92.703,56.357,56.47,56.646,56.578,56.593,56.603,56.493,56.482,56.409,56.449,56.446,56.551,56.527,56.49,56.443,34.468,56.666,56.773,56.74,56.796,56.839,56.789,56.679,56.66,56.647,56.588,56.451,56.553,56.509,56.369,56.178,26.678,57.421,-0.049,99.924
95.344,56.416,56.535,56.717,56.645,56.647,56.659,56.566,56.539,56.459,56.513,56.501,56.612,56.587,56.551,56.52,34.474,56.721,56.846,56.821,56.855,56.896,56.862,56.737,56.729,56.716,56.649,56.519,56.606,56.57,56.436,56.24,26.678,57.549,-0.021,99.924
97.984,56.48,56.585,56.8,56.709,56.714,56.728,56.626,56.601,56.524,56.59,56.583,56.682,56.646,56.611,56.587,34.474,56.791,56.896,56.853,56.911,56.958,56.908,56.782,56.791,56.782,56.707,56.59,56.671,56.646,56.474,56.293,26.649,57.611,-0.046,99.923
100.641,56.549,56.67,56.834,56.762,56.77,56.778,56.685,56.66,56.59,56.652,56.64,56.743,56.72,56.674,56.655,34.484,56.86,56.959,56.927,56.98,57.023,56.985,56.863,56.85,56.849,56.774,56.64,56.719,56.687,56.547,56.353,26.653,57.708,0.001,99.922
