Time [s],Ch 1 [C],Ch 2 [C],Ch 3 [C],Ch 4 [C],Ch 5 [C],Ch 6 [C],Ch 7 [C],Ch 8 [C],Ch 9 [C],Ch 10 [C],Ch 11 [C],Ch 12 [C],Ch 13 [C],Ch 14 [C],Ch 15 [C],T_Jet [C],Ch 16 [C],Ch 17 [C],Ch 18 [C],Ch 19 [C],Ch 20 [C],Ch 21 [C],Ch 22 [C],Ch 23 [C],Ch 25 [C],Ch 26 [C],Ch 27 [C],Ch 28 [C],Ch 29 [C],Ch 30 [C],Ch 31 [C],T_ambient [C],T_Heat Flux [C],Heat Flux [W/m^2],P_heater [W]
0,48.053,48.086,48.103,48.118,48.155,48.209,48.13,48.144,48.108,48.159,48.111,48.181,48.126,48.124,48.068,27.719,48.36,48.444,48.412,48.406,48.388,48.388,48.266,48.249,48.259,48.211,48.186,48.203,48.17,48.11,48.067,26.353,48.469,-0.944,0
4.016,48.047,48.08,48.091,48.116,48.143,48.209,48.134,48.113,48.112,48.153,48.118,48.169,48.118,48.101,48.041,27.729,48.355,48.452,48.396,48.384,48.397,48.368,48.254,48.224,48.253,48.217,48.174,48.201,48.182,48.11,48.046,26.333,48.453,-0.949,0
8.016,48.028,48.045,48.07,48.089,48.139,48.186,48.114,48.131,48.09,48.139,48.091,48.161,48.114,48.097,48.033,27.712,48.349,48.434,48.385,48.373,48.374,48.368,48.244,48.22,48.236,48.199,48.143,48.172,48.137,48.081,48.044,26.333,48.428,-0.948,0
12.016,48.006,48.033,48.068,48.073,48.12,48.182,48.101,48.115,48.08,48.112,48.062,48.14,48.081,48.06,48.008,27.704,48.321,48.411,48.385,48.351,48.353,48.337,48.235,48.2,48.224,48.191,48.125,48.156,48.141,48.073,48.019,26.34,48.412,-0.955,0
16.016,48.006,48.047,48.06,48.063,48.12,48.17,48.095,48.097,48.073,48.1,48.07,48.13,48.081,48.064,48.002,27.71,48.29,48.403,48.357,48.347,48.349,48.327,48.221,48.197,48.207,48.182,48.141,48.159,48.129,48.068,48.005,26.341,48.411,-0.964,0
20.016,47.993,48.037,48.062,48.05,48.114,48.168,48.083,48.072,48.055,48.093,48.048,48.132,48.079,48.054,48.006,27.698,48.311,48.395,48.361,48.347,48.339,48.319,48.219,48.169,48.226,48.168,48.122,48.147,48.114,48.05,48.003,26.338,48.408,-0.974,0
24.016,47.979,48.006,48.04,48.042,48.088,48.158,48.073,48.078,48.043,48.079,48.042,48.108,48.069,48.05,47.973,27.7,48.279,48.378,48.353,48.341,48.327,48.31,48.19,48.173,48.189,48.162,48.116,48.127,48.106,48.042,47.983,26.33,48.397,-0.959,0
28.016,47.965,47.985,48.003,48.03,48.088,48.156,48.067,48.051,48.026,48.083,48.029,48.11,48.048,48.043,47.982,27.687,48.286,48.358,48.314,48.314,48.31,48.314,48.164,48.163,48.187,48.129,48.079,48.102,48.063,48.022,47.958,26.321,48.381,-0.946,0
32.016,47.954,47.979,48.025,48.028,48.077,48.129,48.06,48.066,48.02,48.059,48.017,48.083,48.042,48.025,47.963,27.693,48.271,48.366,48.307,48.304,48.306,48.284,48.164,48.132,48.168,48.113,48.083,48.094,48.082,48.005,47.943,26.305,48.363,-0.964,0
36.016,47.96,47.973,48.009,48.017,48.075,48.129,48.052,48.039,48.016,48.05,48.007,48.083,48.03,48.011,47.957,27.672,48.245,48.358,48.311,48.295,48.286,48.275,48.17,48.134,48.162,48.117,48.059,48.086,48.065,47.997,47.933,26.333,48.341,-0.965,0
40.016,47.946,47.967,47.986,48.009,48.038,48.117,48.026,48.035,47.991,48.04,48.001,48.064,48.023,48.013,47.947,27.672,48.253,48.347,48.299,48.295,48.269,48.271,48.139,48.12,48.156,48.098,48.057,48.067,48.043,47.976,47.931,26.314,48.347,-0.954,0
44.016,47.946,47.959,47.984,47.985,48.044,48.1,48.019,48.025,48.008,48.04,47.99,48.054,48.003,47.998,47.928,27.651,48.234,48.335,48.277,48.293,48.282,48.265,48.127,48.118,48.148,48.092,48.034,48.055,48.024,47.964,47.907,26.327,48.316,-0.946,0
48.016,47.915,47.938,47.97,47.968,48.03,48.092,48.007,48.01,47.989,48.009,47.99,48.034,47.984,47.974,47.912,27.66,48.216,48.323,48.279,48.271,48.263,48.241,48.125,48.087,48.117,48.082,48.018,48.041,48.016,47.958,47.896,26.298,48.316,-0.964,0
52.016,47.893,47.938,47.959,47.966,48.022,48.086,48.001,48.006,47.971,48.005,47.974,48.038,47.976,47.961,47.9,27.67,48.199,48.313,48.256,48.254,48.241,48.218,48.11,48.068,48.099,48.069,48.018,48.036,47.993,47.939,47.904,26.295,48.31,-0.955,0
56.016,47.907,47.909,47.962,47.966,48.008,48.074,47.989,47.979,47.946,47.987,47.957,48.009,47.96,47.961,47.906,27.67,48.197,48.286,48.246,48.238,48.23,48.21,48.102,48.054,48.117,48.061,48.02,48.043,48.004,47.931,47.89,26.327,48.297,-0.928,0
60.016,47.88,47.926,47.933,47.939,47.983,48.039,47.962,47.977,47.934,47.983,47.951,48.001,47.951,47.939,47.871,27.656,48.16,48.273,48.219,48.205,48.218,48.212,48.098,48.07,48.08,48.049,47.995,48.02,47.991,47.935,47.89,26.324,48.275,-0.952,0
64.016,47.854,47.889,47.912,47.931,47.952,48.037,47.954,47.955,47.932,47.972,47.916,47.976,47.935,47.896,47.867,27.647,48.158,48.265,48.209,48.207,48.195,48.195,48.094,48.056,48.068,48.028,47.997,47.997,47.985,47.927,47.874,26.311,48.269,-0.957,0
68.016,47.852,47.879,47.904,47.917,47.948,48.014,47.939,47.947,47.911,47.958,47.923,47.968,47.927,47.904,47.854,27.649,48.154,48.245,48.196,48.195,48.197,48.185,48.073,48.027,48.066,47.998,47.962,48.001,47.962,47.9,47.857,26.327,48.257,-0.954,0
72.016,47.837,47.87,47.9,47.896,47.94,47.993,47.925,47.93,47.901,47.946,47.898,47.968,47.915,47.902,47.856,27.653,48.144,48.241,48.18,48.197,48.179,48.175,48.063,48.015,48.049,48.02,47.966,47.993,47.973,47.913,47.837,26.33,48.232,-0.958,0
76.016,47.821,47.862,47.881,47.894,47.936,48.006,47.917,47.928,47.895,47.927,47.894,47.962,47.886,47.889,47.84,27.653,48.132,48.22,48.196,48.174,48.173,48.171,48.044,48.013,48.043,47.991,47.952,47.975,47.932,47.872,47.833,26.34,48.229,-0.978,0
80.016,47.819,47.846,47.865,47.894,47.938,47.995,47.902,47.932,47.884,47.917,47.882,47.943,47.89,47.875,47.817,27.653,48.111,48.208,48.182,48.172,48.16,48.14,48.044,48.001,48.019,47.998,47.938,47.962,47.932,47.866,47.833,26.308,48.219,-0.965,0.484
84.016,47.809,47.844,47.855,47.867,47.911,47.993,47.902,47.914,47.893,47.919,47.859,47.937,47.888,47.871,47.805,27.643,48.117,48.202,48.166,48.158,48.154,48.132,48.022,47.988,48.027,47.983,47.929,47.944,47.903,47.87,47.81,26.327,48.204,-0.953,1.234
88.016,47.78,47.825,47.845,47.849,47.897,47.963,47.888,47.901,47.876,47.896,47.865,47.923,47.878,47.857,47.803,27.639,48.105,48.202,48.157,48.135,48.134,48.126,48.028,47.982,47.996,47.967,47.917,47.946,47.893,47.857,47.794,26.318,48.213,-0.955,10.539
92.016,47.782,47.807,47.845,47.861,47.907,47.944,47.869,47.885,47.86,47.884,47.84,47.894,47.855,47.84,47.776,27.63,48.089,48.173,48.129,48.129,48.148,48.128,48.007,47.974,47.998,47.944,47.903,47.928,47.893,47.841,47.789,26.321,48.191,-0.957,16.765
96.016,47.784,47.823,47.826,47.841,47.903,47.946,47.863,47.875,47.845,47.882,47.84,47.886,47.847,47.838,47.776,27.628,48.072,48.173,48.123,48.121,48.109,48.126,48.001,47.957,47.982,47.952,47.895,47.928,47.889,47.841,47.779,26.321,48.182,-0.941,24.93
100.016,47.763,47.811,47.845,47.853,47.884,47.952,47.849,47.864,47.833,47.863,47.834,47.892,47.865,47.844,47.774,27.622,48.084,48.173,48.135,48.121,48.121,48.119,47.995,47.962,47.99,47.946,47.907,47.919,47.897,47.839,47.787,26.286,48.179,-0.915,35.477
104.016,47.77,47.815,47.847,47.845,47.886,47.942,47.878,47.864,47.845,47.872,47.832,47.89,47.855,47.844,47.791,27.62,48.089,48.169,48.133,48.129,48.121,48.105,47.983,47.972,47.992,47.965,47.905,47.934,47.899,47.825,47.781,26.286,48.194,-0.868,51.429
